Tensao [V];Corrente [A]
-10;-8,702598E-11
-9,9;-6,699206E-11
-9,8;-6,053495E-11
-9,7;-5,601922E-11
-9,6;-5,226247E-11
-9,5;-5,224767E-11
-9,4;-5,086169E-11
-9,3;-4,913388E-11
-9,2;-4,733452E-11
-9,1;-4,667922E-11
-9;-4,478353E-11
-8,9;-4,270154E-11
-8,8;-4,041711E-11
-8,7;-3,999871E-11
-8,6;-3,849926E-11
-8,5;-3,677637E-11
-8,4;-3,4761E-11
-8,3;-3,442039E-11
-8,2;-3,448581E-11
-8,1;-3,251734E-11
-8;-3,09771E-11
-7,9;-3,040943E-11
-7,8;-2,981455E-11
-7,7;-2,844588E-11
-7,6;-2,639104E-11
-7,5;-2,496929E-11
-7,4;-2,50569E-11
-7,3;-2,321062E-11
-7,2;-2,134089E-11
-7,1;-2,027213E-11
-7;-1,98451E-11
-6,9;-1,779271E-11
-6,8;-1,653635E-11
-6,7;-1,534664E-11
-6,6;-1,556261E-11
-6,5;-1,364228E-11
-6,4;-1,1659E-11
-6,3;-1,131961E-11
-6,2;-9,913913E-12
-6,1;-9,252419E-12
-6;-7,849185E-12
-5,9;-6,348465E-12
-5,8;-3,13227E-12
-5,7;-4,735432E-12
-5,6;-3,063158E-12
-5,5;-2,222702E-12
-5,4;2,418967E-13
-5,3;4,812981E-14
-5,2;2,617701E-12
-5,1;3,816095E-12
-5;2,867003E-12
-4,9;4,807142E-12
-4,8;8,445515E-12
-4,7;7,118766E-12
-4,6;7,450767E-12
-4,5;1,043625E-11
-4,4;1,461273E-11
-4,3;1,494597E-11
-4,2;1,434985E-11
-4,1;1,62505E-11
-4;1,9215E-11
-3,9;1,420051E-11
-3,8;1,897558E-11
-3,7;2,243622E-11
-3,6;2,280277E-11
-3,5;2,805669E-11
-3,4;2,916623E-11
-3,3;3,174936E-11
-3,2;3,285767E-11
-3,1;3,56642E-11
-3;3,726986E-11
-2,9;3,773147E-11
-2,8;4,054911E-11
-2,7;4,229671E-11
-2,6;4,330626E-11
-2,5;4,615969E-11
-2,4;4,818992E-11
-2,3;5,197271E-11
-2,2;5,362652E-11
-2,1;5,650834E-11
-2;5,907049E-11
-1,9;6,126367E-11
-1,8;6,239908E-11
-1,7;6,671132E-11
-1,6;6,899455E-11
-1,5;7,21985E-11
-1,4;7,451504E-11
-1,3;7,851012E-11
-1,2;8,335428E-11
-1,1;8,764438E-11
-1;9,672053E-11
-0,9;1,129019E-10
-0,8;1,356676E-10
-0,7;1,77224E-10
-0,6;2,42153E-10
-0,5;3,45073E-10
-0,4;4,994841E-10
-0,3;7,312073E-10
-0,2;9,926738E-10
-0,1;1,277673E-09
0;1,65741E-09
0,1;1,929145E-09
0,2;2,400479E-09
0,3;2,632379E-09
0,4;3,010297E-09
0,5;3,386502E-09
0,6;3,779244E-09
0,7;4,1539E-09
0,8;4,548854E-09
0,9;4,937582E-09
1;5,318359E-09
1,1;5,716854E-09
1,2;6,10747E-09
1,3;6,465269E-09
1,4;6,815716E-09
1,5;7,164893E-09
1,6;7,492266E-09
1,7;7,791055E-09
1,8;8,108651E-09
1,9;8,400503E-09
2;8,678174E-09
2,1;8,947244E-09
2,2;9,211584E-09
2,3;9,462767E-09
2,4;9,696014E-09
2,5;9,91759E-09
2,6;1,009526E-08
2,7;1,03575E-08
2,8;1,056621E-08
2,9;1,076786E-08
3;1,095463E-08
3,1;1,115599E-08
3,2;1,133921E-08
3,3;1,151253E-08
3,4;1,167134E-08
3,5;1,18252E-08
3,6;1,20599E-08
3,7;1,216197E-08
3,8;1,2323E-08
3,9;1,248133E-08
4;1,26355E-08
4,1;1,278784E-08
4,2;1,29421E-08
4,3;1,309118E-08
4,4;1,326073E-08
4,5;1,340057E-08
4,6;1,354124E-08
4,7;1,370265E-08
4,8;1,38405E-08
4,9;1,398644E-08
5;1,411594E-08
5,1;1,425094E-08
5,2;1,437754E-08
5,3;1,449113E-08
5,4;1,460357E-08
5,5;1,472368E-08
5,6;1,483131E-08
5,7;1,493623E-08
5,8;1,504456E-08
5,9;1,516214E-08
6;1,528379E-08
6,1;1,538841E-08
6,2;1,548133E-08
6,3;1,557845E-08
6,4;1,566995E-08
6,5;1,574293E-08
6,6;1,584473E-08
6,7;1,594085E-08
6,8;1,602842E-08
6,9;1,611054E-08
7;1,620129E-08
7,1;1,627517E-08
7,2;1,632671E-08
7,3;1,643128E-08
7,4;1,653253E-08
7,5;1,664116E-08
7,6;1,672445E-08
7,7;1,680855E-08
7,8;1,687691E-08
7,9;1,698945E-08
8;1,706703E-08
8,1;1,715509E-08
8,2;1,72059E-08
8,3;1,727411E-08
8,4;1,737768E-08
8,5;1,744484E-08
8,6;1,749407E-08
8,7;1,758512E-08
8,8;1,764322E-08
8,9;1,768987E-08
9;1,777808E-08
9,1;1,785742E-08
9,2;1,793266E-08
9,3;1,795767E-08
9,4;1,802911E-08
9,5;1,807353E-08
9,6;1,813827E-08
9,7;1,821829E-08
9,8;1,827542E-08
9,9;1,835313E-08
10;1,838758E-08
