Tensao [V];Corrente [A]
-10;-1,0325E-10
-9,9;-8,372958E-11
-9,8;-7,855237E-11
-9,7;-7,195947E-11
-9,6;-6,744623E-11
-9,5;-6,73956E-11
-9,4;-6,646384E-11
-9,3;-6,297121E-11
-9,2;-5,992781E-11
-9,1;-5,909104E-11
-9;-5,921815E-11
-8,9;-5,649192E-11
-8,8;-5,327574E-11
-8,7;-5,222298E-11
-8,6;-5,305484E-11
-8,5;-5,132082E-11
-8,4;-4,633365E-11
-8,3;-4,544749E-11
-8,2;-4,634353E-11
-8,1;-4,539443E-11
-8;-3,928416E-11
-7,9;-4,02283E-11
-7,8;-4,215357E-11
-7,7;-4,023077E-11
-7,6;-3,732932E-11
-7,5;-3,538797E-11
-7,4;-3,689733E-11
-7,3;-3,430561E-11
-7,2;-3,229519E-11
-7,1;-2,937398E-11
-7;-3,015026E-11
-6,9;-2,897038E-11
-6,8;-2,625528E-11
-6,7;-2,716238E-11
-6,6;-2,760789E-11
-6,5;-2,588503E-11
-6,4;-2,157539E-11
-6,3;-2,034495E-11
-6,2;-2,246767E-11
-6,1;-2,137298E-11
-6;-1,804078E-11
-5,9;-1,574773E-11
-5,8;-1,641788E-11
-5,7;-1,681405E-11
-5,6;-1,42359E-11
-5,5;-1,337694E-11
-5,4;-1,235136E-11
-5,3;-1,308567E-11
-5,2;-1,008546E-11
-5,1;-7,503628E-12
-5;-4,732963E-12
-4,9;-5,835059E-12
-4,8;-4,613249E-12
-4,7;8,157923E-13
-4,6;1,632822E-12
-4,5;2,026527E-12
-4,4;4,164134E-12
-4,3;7,634659E-12
-4,2;8,301116E-12
-4,1;8,659029E-12
-4;1,221595E-11
-3,9;1,611966E-11
-3,8;1,740076E-11
-3,7;1,8435E-11
-3,6;2,299779E-11
-3,5;2,854665E-11
-3,4;2,966238E-11
-3,3;3,252568E-11
-3,2;3,561238E-11
-3,1;3,889534E-11
-3;4,362221E-11
-2,9;4,55303E-11
-2,8;4,928099E-11
-2,7;5,393878E-11
-2,6;5,83794E-11
-2,5;6,113281E-11
-2,4;6,402331E-11
-2,3;7,068171E-11
-2,2;7,560116E-11
-2,1;7,65515E-11
-2;8,017752E-11
-1,9;8,609665E-11
-1,8;9,330928E-11
-1,7;9,566538E-11
-1,6;1,012808E-10
-1,5;1,089205E-10
-1,4;1,184089E-10
-1,3;1,289722E-10
-1,2;1,392653E-10
-1,1;1,591307E-10
-1;2,025555E-10
-0,9;2,784689E-10
-0,8;4,196336E-10
-0,7;6,661915E-10
-0,6;1,101222E-09
-0,5;1,755953E-09
-0,4;3,059369E-09
-0,3;4,091217E-09
-0,2;5,627891E-09
-0,1;7,454674E-09
0;9,903577E-09
0,1;1,164578E-08
0,2;1,377563E-08
0,3;1,602785E-08
0,4;1,825601E-08
0,5;2,164315E-08
0,6;2,393077E-08
0,7;2,622219E-08
0,8;2,851922E-08
0,9;3,073038E-08
1;3,282322E-08
1,1;3,490014E-08
1,2;3,674104E-08
1,3;3,851446E-08
1,4;4,013232E-08
1,5;4,164599E-08
1,6;4,313909E-08
1,7;4,45035E-08
1,8;4,580846E-08
1,9;4,708145E-08
2;4,813805E-08
2,1;4,936958E-08
2,2;5,057739E-08
2,3;5,139308E-08
2,4;5,266624E-08
2,5;5,349373E-08
2,6;5,438625E-08
2,7;5,534122E-08
2,8;5,619714E-08
2,9;5,698791E-08
3;5,762537E-08
3,1;5,839943E-08
3,2;5,894462E-08
3,3;5,984204E-08
3,4;6,047302E-08
3,5;6,103515E-08
3,6;6,167398E-08
3,7;6,225601E-08
3,8;6,274806E-08
3,9;6,335891E-08
4;6,403322E-08
4,1;6,456735E-08
4,2;6,506476E-08
4,3;6,558088E-08
4,4;6,623578E-08
4,5;6,675847E-08
4,6;6,732131E-08
4,7;6,77999E-08
4,8;6,84262E-08
4,9;6,888866E-08
5;6,948998E-08
5,1;6,975902E-08
5,2;7,035609E-08
5,3;7,069116E-08
5,4;7,121065E-08
5,5;7,158535E-08
5,6;7,220323E-08
5,7;7,244379E-08
5,8;7,292066E-08
5,9;7,327252E-08
6;7,378511E-08
6,1;7,4009E-08
6,2;7,459353E-08
6,3;7,506689E-08
6,4;7,539833E-08
6,5;7,584737E-08
6,6;7,603209E-08
6,7;7,654937E-08
6,8;7,694647E-08
6,9;7,727087E-08
7;7,763892E-08
7,1;7,809574E-08
7,2;7,854626E-08
7,3;7,890643E-08
7,4;7,924195E-08
7,5;7,969341E-08
7,6;7,969908E-08
7,7;8,004523E-08
7,8;8,051352E-08
7,9;8,092505E-08
8;8,116577E-08
8,1;8,146912E-08
8,2;8,172356E-08
8,3;8,215105E-08
8,4;8,244311E-08
8,5;8,273506E-08
8,6;8,300161E-08
8,7;8,34016E-08
8,8;8,373244E-08
8,9;8,398395E-08
9;8,432734E-08
9,1;8,470295E-08
9,2;8,51111E-08
9,3;8,528648E-08
9,4;8,540103E-08
9,5;8,57296E-08
9,6;8,585122E-08
9,7;8,620356E-08
9,8;8,646165E-08
9,9;8,638443E-08
10;8,689585E-08
