Tensao [V];Corrente [A]
-10;-1,122582E-10
-9,9;-9,131217E-11
-9,8;-8,363951E-11
-9,7;-8,023323E-11
-9,6;-7,610874E-11
-9,5;-7,176822E-11
-9,4;-7,119186E-11
-9,3;-6,761289E-11
-9,2;-6,4583E-11
-9,1;-6,33686E-11
-9;-6,170495E-11
-8,9;-6,032395E-11
-8,8;-5,733978E-11
-8,7;-5,517015E-11
-8,6;-5,385948E-11
-8,5;-5,327079E-11
-8,4;-5,14948E-11
-8,3;-4,80491E-11
-8,2;-4,941655E-11
-8,1;-4,66471E-11
-8;-4,402204E-11
-7,9;-4,380115E-11
-7,8;-4,204125E-11
-7,7;-4,07195E-11
-7,6;-3,996172E-11
-7,5;-3,833759E-11
-7,4;-3,806731E-11
-7,3;-3,638763E-11
-7,2;-3,406127E-11
-7,1;-3,151768E-11
-7;-3,316157E-11
-6,9;-3,276417E-11
-6,8;-3,131283E-11
-6,7;-2,81682E-11
-6,6;-2,908765E-11
-6,5;-2,621454E-11
-6,4;-2,532473E-11
-6,3;-2,282311E-11
-6,2;-2,113481E-11
-6,1;-2,216531E-11
-6;-2,087315E-11
-5,9;-1,966492E-11
-5,8;-1,830983E-11
-5,7;-1,767672E-11
-5,6;-1,738175E-11
-5,5;-1,582919E-11
-5,4;-1,425565E-11
-5,3;-1,289809E-11
-5,2;-1,291907E-11
-5,1;-1,012989E-11
-5;-7,504861E-12
-4,9;-7,422174E-12
-4,8;-4,87489E-12
-4,7;-3,61112E-12
-4,6;-3,070562E-12
-4,5;2,961705E-14
-4,4;2,290642E-12
-4,3;2,774443E-12
-4,2;5,342778E-12
-4,1;9,155175E-12
-4;1,035111E-11
-3,9;1,153345E-11
-3,8;1,480404E-11
-3,7;1,651091E-11
-3,6;1,860778E-11
-3,5;2,284967E-11
-3,4;2,733963E-11
-3,3;3,025354E-11
-3,2;3,154324E-11
-3,1;3,607768E-11
-3;4,124398E-11
-2,9;4,291631E-11
-2,8;4,702487E-11
-2,7;5,076323E-11
-2,6;5,399556E-11
-2,5;5,897671E-11
-2,4;6,199177E-11
-2,3;6,601526E-11
-2,2;7,099269E-11
-2,1;7,606524E-11
-2;8,141909E-11
-1,9;8,672491E-11
-1,8;9,276615E-11
-1,7;9,792756E-11
-1,6;1,038331E-10
-1,5;1,113506E-10
-1,4;1,211919E-10
-1,3;1,304495E-10
-1,2;1,450795E-10
-1,1;1,69414E-10
-1;2,174398E-10
-0,9;3,10185E-10
-0,8;4,872595E-10
-0,7;7,853459E-10
-0,6;1,285969E-09
-0,5;2,063042E-09
-0,4;3,803512E-09
-0,3;4,902458E-09
-0,2;6,74581E-09
-0,1;8,882806E-09
0;1,173983E-08
0,1;1,380226E-08
0,2;1,635084E-08
0,3;1,901792E-08
0,4;2,286775E-08
0,5;2,550979E-08
0,6;2,814354E-08
0,7;3,079058E-08
0,8;3,346945E-08
0,9;3,593209E-08
1;3,826599E-08
1,1;4,061117E-08
1,2;4,262967E-08
1,3;4,469919E-08
1,4;4,643348E-08
1,5;4,817157E-08
1,6;4,978273E-08
1,7;5,11458E-08
1,8;5,263161E-08
1,9;5,406035E-08
2;5,525673E-08
2,1;5,649099E-08
2,2;5,761046E-08
2,3;5,879257E-08
2,4;5,977521E-08
2,5;6,075022E-08
2,6;6,177952E-08
2,7;6,278467E-08
2,8;6,379468E-08
2,9;6,464934E-08
3;6,535809E-08
3,1;6,610934E-08
3,2;6,683653E-08
3,3;6,745093E-08
3,4;6,820287E-08
3,5;6,884306E-08
3,6;6,947005E-08
3,7;7,00926E-08
3,8;7,087304E-08
3,9;7,149468E-08
4;7,209214E-08
4,1;7,281422E-08
4,2;7,354644E-08
4,3;7,409135E-08
4,4;7,478575E-08
4,5;7,525593E-08
4,6;7,584433E-08
4,7;7,643816E-08
4,8;7,697142E-08
4,9;7,756906E-08
5;7,813399E-08
5,1;7,861698E-08
5,2;7,919002E-08
5,3;7,975607E-08
5,4;8,039577E-08
5,5;8,080506E-08
5,6;8,123394E-08
5,7;8,168821E-08
5,8;8,212149E-08
5,9;8,232107E-08
6;8,273219E-08
6,1;8,31788E-08
6,2;8,375901E-08
6,3;8,418142E-08
6,4;8,462121E-08
6,5;8,516711E-08
6,6;8,561189E-08
6,7;8,6042E-08
6,8;8,636182E-08
6,9;8,682319E-08
7;8,714466E-08
7,1;8,748932E-08
7,2;8,797713E-08
7,3;8,808077E-08
7,4;8,882444E-08
7,5;8,884152E-08
7,6;8,965077E-08
7,7;9,007019E-08
7,8;9,047819E-08
7,9;9,096051E-08
8;9,11929E-08
8,1;9,146645E-08
8,2;9,194446E-08
8,3;9,222828E-08
8,4;9,265435E-08
8,5;9,280472E-08
8,6;9,318197E-08
8,7;9,351461E-08
8,8;9,393119E-08
8,9;9,427132E-08
9;9,450454E-08
9,1;9,485407E-08
9,2;9,524322E-08
9,3;9,537882E-08
9,4;9,567145E-08
9,5;9,597567E-08
9,6;9,621634E-08
9,7;9,666874E-08
9,8;9,700845E-08
9,9;9,720585E-08
10;9,738271E-08
