Tensao [V];Corrente [A]
-10;-1,198975E-10
-9,9;-1,006214E-10
-9,8;-9,156888E-11
-9,7;-8,454784E-11
-9,6;-8,286691E-11
-9,5;-7,908795E-11
-9,4;-7,753534E-11
-9,3;-7,404891E-11
-9,2;-7,152879E-11
-9,1;-7,006138E-11
-9;-6,812994E-11
-8,9;-6,614291E-11
-8,8;-6,351916E-11
-8,7;-6,209371E-11
-8,6;-6,113847E-11
-8,5;-5,798896E-11
-8,4;-5,775327E-11
-8,3;-5,64068E-11
-8,2;-5,59884E-11
-8,1;-5,289561E-11
-8;-5,1775E-11
-7,9;-5,042485E-11
-7,8;-5,0689E-11
-7,7;-4,696678E-11
-7,6;-4,412083E-11
-7,5;-4,442195E-11
-7,4;-4,392457E-11
-7,3;-4,189439E-11
-7,2;-3,891764E-11
-7,1;-4,047019E-11
-7;-4,091328E-11
-6,9;-3,69492E-11
-6,8;-3,530404E-11
-6,7;-3,516337E-11
-6,6;-3,396625E-11
-6,5;-3,442043E-11
-6,4;-3,194348E-11
-6,3;-3,017003E-11
-6,2;-2,989971E-11
-6,1;-3,033785E-11
-6;-2,72364E-11
-5,9;-2,53741E-11
-5,8;-2,705623E-11
-5,7;-2,543458E-11
-5,6;-2,269723E-11
-5,5;-2,020794E-11
-5,4;-2,120761E-11
-5,3;-2,047698E-11
-5,2;-1,779025E-11
-5,1;-1,660425E-11
-5;-1,680171E-11
-4,9;-1,650921E-11
-4,8;-1,359044E-11
-4,7;-1,126284E-11
-4,6;-1,140106E-11
-4,5;-9,89294E-12
-4,4;-7,717132E-12
-4,3;-5,956003E-12
-4,2;-4,357784E-12
-4,1;-3,79254E-12
-4;-1,104566E-12
-3,9;2,154883E-12
-3,8;4,118467E-12
-3,7;6,106739E-12
-3,6;8,378876E-12
-3,5;1,311937E-11
-3,4;1,469914E-11
-3,3;1,716502E-11
-3,2;2,158836E-11
-3,1;2,516995E-11
-3;2,955131E-11
-2,9;3,026219E-11
-2,8;3,605419E-11
-2,7;4,255342E-11
-2,6;4,527604E-11
-2,5;4,842074E-11
-2,4;5,363764E-11
-2,3;6,137844E-11
-2,2;6,655463E-11
-2,1;6,912168E-11
-2;7,585665E-11
-1,9;8,408745E-11
-1,8;9,056564E-11
-1,7;9,461997E-11
-1,6;1,013351E-10
-1,5;1,126304E-10
-1,4;1,235455E-10
-1,3;1,353307E-10
-1,2;1,53709E-10
-1,1;1,928229E-10
-1;2,718427E-10
-0,9;4,356658E-10
-0,8;7,33868E-10
-0,7;1,237145E-09
-0,6;2,058276E-09
-0,5;3,797133E-09
-0,4;5,215111E-09
-0,3;7,687845E-09
-0,2;1,063212E-08
-0,1;1,411396E-08
0;1,85646E-08
0,1;2,352375E-08
0,2;2,753302E-08
0,3;3,152766E-08
0,4;3,562882E-08
0,5;3,961634E-08
0,6;4,359755E-08
0,7;4,729707E-08
0,8;5,116296E-08
0,9;5,468508E-08
1;5,795314E-08
1,1;6,109759E-08
1,2;6,398322E-08
1,3;6,675606E-08
1,4;6,909024E-08
1,5;7,134524E-08
1,6;7,350588E-08
1,7;7,553884E-08
1,8;7,731893E-08
1,9;7,92616E-08
2;8,102523E-08
2,1;8,271756E-08
2,2;8,419349E-08
2,3;8,599521E-08
2,4;8,746157E-08
2,5;8,859639E-08
2,6;8,985057E-08
2,7;9,111649E-08
2,8;9,226375E-08
2,9;9,360821E-08
3;9,460604E-08
3,1;9,565181E-08
3,2;9,70989E-08
3,3;9,803879E-08
3,4;9,891066E-08
3,5;1,000102E-07
3,6;1,009415E-07
3,7;1,020235E-07
3,8;1,031868E-07
3,9;1,039644E-07
4;1,047986E-07
4,1;1,059107E-07
4,2;1,069154E-07
4,3;1,076754E-07
4,4;1,08337E-07
4,5;1,09381E-07
4,6;1,099713E-07
4,7;1,109408E-07
4,8;1,113995E-07
4,9;1,129704E-07
5;1,137015E-07
5,1;1,143771E-07
5,2;1,152962E-07
5,3;1,159439E-07
5,4;1,170612E-07
5,5;1,175995E-07
5,6;1,181264E-07
5,7;1,193162E-07
5,8;1,199368E-07
5,9;1,207037E-07
6;1,209752E-07
6,1;1,217459E-07
6,2;1,224348E-07
6,3;1,231828E-07
6,4;1,238318E-07
6,5;1,244793E-07
6,6;1,250423E-07
6,7;1,25955E-07
6,8;1,263282E-07
6,9;1,269398E-07
7;1,274707E-07
7,1;1,278464E-07
7,2;1,286485E-07
7,3;1,290009E-07
7,4;1,295189E-07
7,5;1,300983E-07
7,6;1,305017E-07
7,7;1,311514E-07
7,8;1,315607E-07
7,9;1,321999E-07
8;1,325002E-07
8,1;1,327818E-07
8,2;1,336686E-07
8,3;1,339819E-07
8,4;1,344689E-07
8,5;1,349404E-07
8,6;1,353223E-07
8,7;1,357216E-07
8,8;1,360586E-07
8,9;1,365699E-07
9;1,371212E-07
9,1;1,375042E-07
9,2;1,379434E-07
9,3;1,386049E-07
9,4;1,388958E-07
9,5;1,390541E-07
9,6;1,394337E-07
9,7;1,395783E-07
9,8;1,40106E-07
9,9;1,405531E-07
10;1,407704E-07
