,V,i,si,sV
30,-7.0,1.9077098105943863e-12,5.638250445346858e-11,0.003
31,-6.9,2.7266518185653056e-12,5.639548922523735e-11,0.0030999999999999995
32,-6.8,1.879513826536214e-12,5.639650981494128e-11,0.0032000000000000006
33,-6.7,-6.263241654928809e-13,5.6396132199529855e-11,0.0033
34,-6.6,6.171278424780151e-13,5.6400423957279016e-11,0.0034000000000000002
35,-6.5,1.4743498504489309e-12,5.641249538794016e-11,0.0034999999999999996
36,-6.4,-1.9423281415801447e-12,5.6411151491319183e-11,0.0036
37,-6.3,-5.507261336092431e-13,5.640988256116848e-11,0.0037
38,-6.2,-1.1931412563835016e-13,5.641945004367461e-11,0.0037999999999999996
39,-6.1,-6.11052117667442e-13,5.64264805857092e-11,0.0039000000000000007
40,-6.0,-2.335730109696517e-12,5.6428794127248116e-11,0.004
41,-5.9,-1.7709781017256053e-12,5.642904131742981e-11,0.0040999999999999995
42,-5.8,-1.1777609375470327e-13,5.6436757804516507e-11,0.004200000000000001
43,-5.7,-1.0649240857837992e-12,5.644694427280461e-11,0.0043
44,-5.6,-1.4530020778128866e-12,5.6446230667444945e-11,0.0044
45,-5.5,-3.6145000698419748e-12,5.644776496413621e-11,0.0045000000000000005
46,-5.4,-4.45549806187107e-12,5.645126475621378e-11,0.0046
47,-5.3,-3.5439660539001647e-12,5.6456844548432984e-11,0.0047
48,-5.2,-3.3100340459292484e-12,5.646199404532256e-11,0.0048
49,-5.1,-5.475282037958343e-12,5.6463033221203564e-11,0.004900000000000001
50,-5.0,-6.771680029987433e-12,5.6464211941377173e-11,0.005
51,-4.9,-2.809348022016523e-12,5.647583361055278e-11,0.0050999999999999995
52,-4.8,-1.27459601404562e-12,5.6480976163658204e-11,0.005200000000000001
53,-4.7,-6.5128710060747e-12,5.647991566433445e-11,0.0053
54,-4.6,-7.719176998103798e-12,5.648607098253566e-11,0.0054
55,-4.5,-4.159182990132891e-12,5.649561583676521e-11,0.0055
56,-4.4,-2.420803982161981e-12,5.6504374143391045e-11,0.0056
57,-4.3,-2.6397929741910732e-12,5.6509093305161094e-11,0.0057
58,-4.2,-1.10010896622016e-12,5.6512200316212935e-11,0.0058
59,-4.1,1.856397041750744e-12,5.652707729270113e-11,0.005900000000000001
60,-4.0,1.4238900497216553e-12,5.6530998582207577e-11,0.006
61,-3.9,2.3971060576925642e-12,5.654235680082055e-11,0.0061
62,-3.8,5.573265065663469e-12,5.655062261745073e-11,0.006200000000000001
63,-3.7,7.685591073634386e-12,5.655891601279544e-11,0.0063
64,-3.6,2.4066414999999996e-12,5.657115561176765e-11,0.0063999999999999994
65,-3.5,5.4279269e-12,5.6577764636922966e-11,0.006500000000000001
66,-3.4,9.4488829e-12,5.658479400356957e-11,0.0066
67,-3.3,1.36920278e-11,5.660156938489939e-11,0.0067
68,-3.2,1.7219343000000002e-11,5.661513027874938e-11,0.0068000000000000005
69,-3.1,2.2442404999999998e-11,5.6622212599024294e-11,0.0069
70,-3.0,2.7131083000000002e-11,5.66294294883486e-11,0.007
71,-2.9,3.0539875e-11,5.664531339450752e-11,0.0071
72,-2.8,3.527299e-11,5.666001595114441e-11,0.0072
73,-2.7,3.8952081e-11,5.666920321220742e-11,0.0073
74,-2.6,4.6194281e-11,5.668060071337647e-11,0.0074
75,-2.5,4.8660155e-11,5.669335484005793e-11,0.0075
76,-2.4,5.6094878e-11,5.671397442686586e-11,0.007600000000000001
77,-2.3,6.2128826e-11,5.6729221742989146e-11,0.0077
78,-2.2,7.1427201e-11,5.674946179042653e-11,0.0078
79,-2.1,8.2431172e-11,5.6774458319392034e-11,0.0079
80,-2.0,9.2071361e-11,5.680322698390806e-11,0.008
81,-1.9,1.02363296e-10,5.682692414618898e-11,0.0081
82,-1.8,1.1528272600000001e-10,5.6854483349214076e-11,0.0082
83,-1.7,1.3483836e-10,5.690111875090451e-11,0.0083
84,-1.6,1.6777127e-10,5.6974341607346653e-11,0.0084
85,-1.5,2.2611624e-10,5.7102097156469314e-11,0.0085
86,-1.4,3.3838748e-10,5.734988574670805e-11,0.0086
87,-1.3,5.3026854e-10,5.7762979794968335e-11,0.0087
88,-1.2,8.2290125e-10,5.840028167225911e-11,0.0088
89,-1.1,1.21923646e-09,5.927510139820273e-11,0.0089
90,-1.0,1.7368407699999999e-09,6.043248428296474e-11,0.009000000000000001
91,-0.9,2.52559817e-09,6.222737141824926e-11,0.0091
92,-0.8,3.14907612e-09,6.367424660018688e-11,0.0092
93,-0.7,4.11754461e-09,6.596270983689318e-11,0.009300000000000001
94,-0.6,5.28222503e-09,6.877335481355935e-11,0.0094
95,-0.5,6.8867214000000004e-09,7.274082576368233e-11,0.0095
96,-0.4,8.865792779999999e-09,7.777689684175826e-11,0.009600000000000001
97,-0.3,1.14622063e-08,8.455124036340201e-11,0.0097
98,-0.2,1.443746386e-08,9.2506739834861e-11,0.0098
99,-0.1,1.799679669e-08,1.0223862540008262e-10,0.0099
100,0.0,2.359146357e-08,1.1785106026586188e-10,0.01
101,0.1,2.7910292660000003e-08,1.3011478560817117e-10,0.0101
102,0.2,3.236915842e-08,1.4290038167592679e-10,0.0102
103,0.3,3.680150008e-08,1.5570783373797317e-10,0.0103
104,0.4,4.1238733169999996e-08,1.6860175104694684e-10,0.0104
105,0.5,4.558375729e-08,1.8129224153158296e-10,0.0105
106,0.6,4.990849795e-08,1.9397302099679352e-10,0.0106
107,0.7,5.411136652e-08,2.0632819121129987e-10,0.0107
108,0.8,5.811288515e-08,2.18116659298988e-10,0.0108
109,0.9,6.193271673e-08,2.2939327829644366e-10,0.0109
110,1.0,6.55652707e-08,2.401337046663096e-10,0.011
111,1.1,6.915070381000001e-08,2.507488034770726e-10,0.0111
112,1.2,7.233862236e-08,2.6019707474244505e-10,0.0112
113,1.3,7.552749892000001e-08,2.6965266448270583e-10,0.011300000000000001
114,1.4,7.847837324e-08,2.784125512036186e-10,0.0114
115,1.5,8.137889948999999e-08,2.8702855242145843e-10,0.0115
116,1.6,8.386807605e-08,2.9442484680217786e-10,0.011600000000000001
117,1.7,8.639095827999999e-08,3.019303176387791e-10,0.0117
118,1.8,8.883605189e-08,3.092064261459962e-10,0.0118
119,1.9,9.116986774e-08,3.1615194347670773e-10,0.0119
120,2.0,9.322243647e-08,3.222605565056918e-10,0.012
121,2.1,9.520723962e-08,3.281716770677197e-10,0.0121
122,2.2,9.720569029e-08,3.3412569247797994e-10,0.0122
123,2.3,9.917025926e-08,3.399789180254924e-10,0.0123
124,2.4,1.0108235180000001e-07,2.1598224132200563e-10,0.0124
125,2.5,1.0311603107000001e-07,2.1998225892167475e-10,0.0125
126,2.6,1.0490437966e-07,2.2350337458950944e-10,0.0126
127,2.7,1.0679370676e-07,2.2722140338830273e-10,0.0127
128,2.8,1.0850019223e-07,2.3058386736335155e-10,0.0128
129,2.9,1.100726441e-07,2.336818487319742e-10,0.0129
130,3.0,1.1141554047000001e-07,2.363284998990209e-10,0.013000000000000001
131,3.1,1.1294685060000001e-07,2.3934946619789324e-10,0.0131
132,3.2,1.1420706587e-07,2.4183829514488386e-10,0.0132
133,3.3,1.157550774e-07,2.448951489592156e-10,0.0133
134,3.4,1.1696414889999999e-07,2.4728003191668726e-10,0.0134
135,3.5,1.1824657e-07,2.498121776236861e-10,0.0135
136,3.6,1.1955726522e-07,2.524011369930541e-10,0.013600000000000001
137,3.7,1.2098553324e-07,2.552225766857551e-10,0.0137
138,3.8,1.2253115346e-07,2.5827970313753315e-10,0.0138
139,3.9,1.2359852522e-07,2.6038978636285217e-10,0.0139
140,4.0,1.2505170919e-07,2.632621051969802e-10,0.014
141,4.1,1.2626344516e-07,2.6565889106161333e-10,0.0141
142,4.2,1.2762641475e-07,2.683573418834348e-10,0.0142
143,4.3,1.2885448286999998e-07,2.7078788221475357e-10,0.0143
144,4.4,1.3013380248e-07,2.733172709783619e-10,0.0144
145,4.5,1.3129874105000001e-07,2.756244310507259e-10,0.0145
146,4.6,1.3225369173e-07,2.775147174176794e-10,0.0146
147,4.7,1.3325142914000002e-07,2.794924057200389e-10,0.014700000000000001
148,4.8,1.3426567981e-07,2.815001491985283e-10,0.0148
149,4.9,1.3552356266e-07,2.8399143833773116e-10,0.0149
150,5.0,1.3652736164e-07,2.85980705809051e-10,0.015
151,5.1,1.3766324435000001e-07,2.882301978427283e-10,0.015099999999999999
152,5.2,1.3874101508e-07,2.903675925079919e-10,0.015200000000000002
153,5.3,1.3954063252e-07,2.919529469762522e-10,0.015300000000000001
154,5.4,1.4036470807999998e-07,2.935872606482061e-10,0.0154
155,5.5,1.4137115003999998e-07,2.9558126140397785e-10,0.0155
156,5.6,1.420572382e-07,2.96944626740661e-10,0.0156
157,5.7,1.4284203833999999e-07,2.985008395726636e-10,0.0157
158,5.8,1.4381296398e-07,3.0042318633544785e-10,0.0158
159,5.9,1.4445709173e-07,3.017046296932901e-10,0.0159
160,6.0,1.4510575633e-07,3.029934044441776e-10,0.016
161,6.1,1.459793801e-07,3.047278815726848e-10,0.0161
162,6.2,1.4661182575e-07,3.0598119861925087e-10,0.0162
163,6.3,1.4743237291e-07,3.0761019344055524e-10,0.016300000000000002
164,6.4,1.4839321369e-07,3.095156635570433e-10,0.0164
165,6.5,1.4908808414e-07,3.108947226234707e-10,0.0165
166,6.6,1.5009167288999998e-07,3.1288402576896747e-10,0.0166
167,6.7,1.5064591271999998e-07,3.139856383969122e-10,0.0167
168,6.8,1.5136903132999998e-07,3.1542071085637015e-10,0.0168
169,6.9,1.5194033245e-07,3.165530937282102e-10,0.016900000000000002
170,7.0,1.52930928e-07,3.1852215795324803e-10,0.017
171,7.1,1.5338360607e-07,3.1942295360219546e-10,0.0171
172,7.2,1.5407825669000001e-07,3.208009127283276e-10,0.0172
173,7.3,1.5473927669000002e-07,3.22114661400489e-10,0.0173
174,7.4,1.5557126324999999e-07,3.2376667908733736e-10,0.0174
175,7.5,1.560978388e-07,3.248134210830144e-10,0.0175
176,7.6,1.5657734748999998e-07,3.257655433772253e-10,0.0176
177,7.7,1.571065184e-07,3.2682013364113317e-10,0.0177
178,7.8,1.5772260142999998e-07,3.2804537508094055e-10,0.0178
179,7.9,1.5824511994e-07,3.290820496308585e-10,0.0179
180,8.0,1.5892668899000002e-07,3.3043439235346706e-10,0.018000000000000002
181,8.1,1.5949320161000001e-07,3.3156111819116405e-10,0.018099999999999998
182,8.2,1.6015482523e-07,3.328762327978749e-10,0.0182
183,8.3,1.6065032659e-07,3.33860471407576e-10,0.0183
184,8.4,1.6152211719e-07,3.355952085386942e-10,0.0184
185,8.5,1.6196604825e-07,3.364782620788151e-10,0.018500000000000003
186,8.6,1.6218834474e-07,3.369210887173191e-10,0.0186
187,8.7,1.6307930647e-07,3.3869020152262233e-10,0.0187
188,8.8,1.6354701019e-07,3.3961947257025523e-10,0.0188
189,8.9,1.6411915359e-07,3.407568078880019e-10,0.0189
190,9.0,1.6439461423e-07,3.4130468074473533e-10,0.019000000000000003
191,9.1,1.6484083527e-07,3.421920445639912e-10,0.0191
192,9.2,1.6573890112e-07,3.4397868193633257e-10,0.019200000000000002
193,9.3,1.6620862319e-07,3.4491094934207517e-10,0.0193
194,9.4,1.6683570207e-07,3.46155700480083e-10,0.0194
195,9.5,1.6719292354000001e-07,3.468685344356013e-10,0.0195
196,9.6,1.6779503984999998e-07,3.4806696940346817e-10,0.0196
197,9.7,1.6817997583000002e-07,3.4883254516105314e-10,0.019700000000000002
198,9.8,1.6861790698e-07,3.4970484009916215e-10,0.0198
199,9.9,1.6915481323e-07,3.507719995078823e-10,0.0199
200,10.0,1.6965301088e-07,3.5176277828124717e-10,0.02
