,V,i,si,sV
29,-7.1,5.839907316666265e-12,5.636841660069423e-11,0.0029000000000000007
30,-7.0,8.741176255273805e-12,5.6379396332984034e-11,0.003
31,-6.9,3.656215193881354e-12,5.6379787489461176e-11,0.0030999999999999995
32,-6.8,6.169944132488882e-12,5.6387836202184426e-11,0.0032000000000000006
33,-6.7,-3.876276928903561e-12,5.637140263842681e-11,0.0033
34,-6.6,4.057762009703976e-12,5.638977128040634e-11,0.0034000000000000002
35,-6.5,4.58822094831152e-12,5.640106035944373e-11,0.0034999999999999996
36,-6.4,1.660198869190733e-13,5.6397498497551475e-11,0.0036
37,-6.3,3.184488825526602e-12,5.6399584614178276e-11,0.0037
38,-6.2,3.299017764134159e-12,5.640839081552824e-11,0.0037999999999999996
39,-6.1,2.703946702741698e-12,5.6415112760212374e-11,0.0039000000000000007
40,-6.0,-2.2699543586507616e-12,5.6410455140276235e-11,0.004
41,-5.9,4.1159457995679145e-13,5.641509536876949e-11,0.0040999999999999995
42,-5.8,-1.1251764814356738e-12,5.6415963680728524e-11,0.004200000000000001
43,-5.7,1.2256224571718788e-12,5.643304660781528e-11,0.0043
44,-5.6,-2.2129386042205805e-12,5.6425781181647854e-11,0.0044
45,-5.5,5.340103343869662e-13,5.643762457374064e-11,0.0045000000000000005
46,-5.4,-3.484610727005495e-12,5.643430328309961e-11,0.0046
47,-5.3,-8.338917883979547e-13,5.644347681184748e-11,0.0047
48,-5.2,-1.0081828497904077e-12,5.644767128095879e-11,0.0048
49,-5.1,-5.290913911182871e-12,5.64441357650318e-11,0.004900000000000001
50,-5.0,-3.897834972575316e-12,5.645092272650402e-11,0.005
51,-4.9,1.6847396603222465e-13,5.646267269965138e-11,0.0050999999999999995
52,-4.8,2.2169129046397705e-12,5.646881305470525e-11,0.005200000000000001
53,-4.7,-4.0345515675268167e-13,5.647321225082498e-11,0.0053
54,-4.6,-3.896324218145142e-12,5.647443292516085e-11,0.0054
55,-4.5,-4.708653279537604e-12,5.647462098012353e-11,0.0055
56,-4.4,-2.8983973409300566e-12,5.6483439888654656e-11,0.0056
57,-4.3,-3.194829402322523e-12,5.648790476804635e-11,0.0057
58,-4.2,-2.1127484637149694e-12,5.648995037153525e-11,0.0058
59,-4.1,-4.219685525107431e-12,5.649400274336784e-11,0.005900000000000001
60,-4.0,-4.906125586499884e-12,5.649729560205659e-11,0.006
61,-3.9,-6.54410264789234e-12,5.650302777555358e-11,0.0061
62,-3.8,-4.389510709284798e-12,5.650903260872625e-11,0.006200000000000001
63,-3.7,-2.8902757706772487e-12,5.6515931979723477e-11,0.0063
64,-3.6,-1.1602423320697051e-12,5.652786599934957e-11,0.0063999999999999994
65,-3.5,-5.562720993462163e-12,5.65208209820472e-11,0.006500000000000001
66,-3.4,-5.2827910548546234e-12,5.6521999676100287e-11,0.0066
67,-3.3,-5.4361152162470835e-12,5.653153324102183e-11,0.0067
68,-3.2,-3.7925110776395335e-12,5.654317979236415e-11,0.0068000000000000005
69,-3.1,-2.5400701390319908e-12,5.654391786363379e-11,0.0069
70,-3.0,3.0824807995755526e-12,5.65551904115922e-11,0.007
71,-2.9,2.7588317381830945e-12,5.6565238132797226e-11,0.0071
72,-2.8,3.573092676790639e-12,5.6573703998465235e-11,0.0072
73,-2.7,6.743446615398184e-12,5.658388985021583e-11,0.0073
74,-2.6,7.696390999999999e-12,5.659885200283206e-11,0.0074
75,-2.5,8.673855e-12,5.66084401069466e-11,0.0075
76,-2.4,1.3234188e-11,5.662293529698592e-11,0.007600000000000001
77,-2.3,1.9755616e-11,5.6639196999145167e-11,0.0077
78,-2.2,2.6641151e-11,5.6654282140834514e-11,0.0078
79,-2.1,3.2166581999999995e-11,5.6667602818812086e-11,0.0079
80,-2.0,3.8111641e-11,5.6688482998716936e-11,0.008
81,-1.9,4.7580326e-11,5.671038686171005e-11,0.0081
82,-1.8,5.6431896e-11,5.672924223805194e-11,0.0082
83,-1.7,6.718782000000001e-11,5.675707030145231e-11,0.0083
84,-1.6,8.065648e-11,5.678868939713093e-11,0.0084
85,-1.5,9.966054e-11,5.683222266834433e-11,0.0085
86,-1.4,1.2381108e-10,5.6890814150883264e-11,0.0086
87,-1.3,1.5503964e-10,5.695699483474861e-11,0.0087
88,-1.2,2.0340865e-10,5.7061675736274076e-11,0.0088
89,-1.1,2.9246876e-10,5.725603795025254e-11,0.0089
90,-1.0,5.0974967e-10,5.7727141594619825e-11,0.009000000000000001
91,-0.9,9.639054700000001e-10,5.871906722976261e-11,0.0091
92,-0.8,1.88871212e-09,6.0781419581353e-11,0.0092
93,-0.7,4.2543926100000005e-09,6.628936136070454e-11,0.009300000000000001
94,-0.6,6.34957603e-09,7.140056168971418e-11,0.0094
95,-0.5,1.03440204e-08,8.159851491543655e-11,0.0095
96,-0.4,1.649816978e-08,9.811378556197363e-11,0.009600000000000001
97,-0.3,2.82184463e-08,1.3100123394326096e-10,0.0097
98,-0.2,3.7898933860000005e-08,1.5889835134228222e-10,0.0098
99,-0.1,4.853742669e-08,1.8995561254664084e-10,0.0099
100,0.0,5.972617357e-08,2.2286767440259192e-10,0.01
101,0.1,7.119560266e-08,2.567938288187815e-10,0.0101
102,0.2,8.272647842e-08,2.9101246727401347e-10,0.0102
103,0.3,9.428338008e-08,3.253871989370871e-10,0.0103
104,0.4,1.0471973317e-07,2.2310360791367008e-10,0.0104
105,0.5,1.1537751729e-07,2.441043037624274e-10,0.0105
106,0.6,1.2567960795e-07,2.6445491300732085e-10,0.0106
107,0.7,1.3541613652e-07,2.8371991132759546e-10,0.0107
108,0.8,1.4485364515e-07,3.02417498310029e-10,0.0108
109,0.9,1.5417413673e-07,3.209053304720288e-10,0.0109
110,1.0,1.630654407e-07,3.3855792034023113e-10,0.011
111,1.1,1.7028091381e-07,3.5289372259495733e-10,0.0111
112,1.2,1.7760355236e-07,3.6745002357578024e-10,0.0112
113,1.3,1.8489781891999999e-07,3.8195422877876495e-10,0.011300000000000001
114,1.4,1.9112489324e-07,3.943434658079197e-10,0.0114
115,1.5,1.9682350949000002e-07,4.056849018215209e-10,0.0115
116,1.6,2.0222708605e-07,4.1644060606223434e-10,0.011600000000000001
117,1.7,2.0811604828e-07,4.281690765179068e-10,0.0117
118,1.8,2.1387409189e-07,4.396387541548141e-10,0.0118
119,1.9,2.1921853774e-07,4.502854222422655e-10,0.0119
120,2.0,2.2432233647e-07,4.604531565628345e-10,0.012
121,2.1,2.2825979962e-07,4.683001125851768e-10,0.0121
