,V,i,si,sV
133,3.3,1.020461774e-07,2.1789398953683048e-10,0.0133
134,3.4,1.0355094889999999e-07,2.2085185061211933e-10,0.0134
135,3.5,1.0493507000000001e-07,2.2357556071469016e-10,0.0135
136,3.6,1.0636956522e-07,2.2639983806634323e-10,0.013600000000000001
137,3.7,1.0763293324e-07,2.2888785620743653e-10,0.0137
138,3.8,1.0910765346e-07,2.3179614704954057e-10,0.0138
139,3.9,1.1040692522e-07,2.3435696116311924e-10,0.0139
140,4.0,1.1171990919e-07,2.369448699753296e-10,0.014
141,4.1,1.1289884516e-07,2.3927041741578944e-10,0.0141
142,4.2,1.1414361475e-07,2.417285930632591e-10,0.0142
143,4.3,1.1531468287e-07,2.440403428624687e-10,0.0143
144,4.4,1.1651920248000001e-07,2.464156229131978e-10,0.0144
145,4.5,1.1766624105e-07,2.486817162821512e-10,0.0145
146,4.6,1.1882949173e-07,2.5097861270836294e-10,0.0146
147,4.7,1.1997752914e-07,2.5324849938132863e-10,0.014700000000000001
148,4.8,1.2102277981e-07,2.553129121614371e-10,0.0148
149,4.9,1.2189656266e-07,2.5703991254654085e-10,0.0149
150,5.0,1.2284436164000001e-07,2.589141345895256e-10,0.015
151,5.1,1.2399754435e-07,2.611928988373503e-10,0.015099999999999999
152,5.2,1.2487141508e-07,2.629227628067361e-10,0.015200000000000002
153,5.3,1.2581643252e-07,2.647922095242954e-10,0.015300000000000001
154,5.4,1.2678070808e-07,2.6670038487958295e-10,0.0154
155,5.5,1.2768255004e-07,2.6848354906602136e-10,0.0155
156,5.6,1.286304382e-07,2.7036206312881714e-10,0.0156
157,5.7,1.2940703834e-07,2.718991035321467e-10,0.0157
158,5.8,1.3029866398e-07,2.7366093048833845e-10,0.0158
159,5.9,1.3127839173e-07,2.7560409397743954e-10,0.0159
160,6.0,1.3198415633000002e-07,2.7700361646049506e-10,0.016
161,6.1,1.327580801e-07,2.7853779428777025e-10,0.0161
162,6.2,1.3337532575e-07,2.797588476739806e-10,0.0162
163,6.3,1.3430457291e-07,2.816002679405966e-10,0.016300000000000002
164,6.4,1.3495591369e-07,2.8288983258660397e-10,0.0164
165,6.5,1.3566948414e-07,2.8430361850009013e-10,0.0165
166,6.6,1.3623767289e-07,2.8542746736324435e-10,0.0166
167,6.7,1.3700871272e-07,2.8695658753783044e-10,0.0167
168,6.8,1.3756023133e-07,2.8804947982848e-10,0.0168
169,6.9,1.3827613244999998e-07,2.8946639759436845e-10,0.016900000000000002
170,7.0,1.3878692800000001e-07,2.904819823892592e-10,0.017
171,7.1,1.3933560607000002e-07,2.9157151848551725e-10,0.0171
172,7.2,1.3970745669e-07,2.9230778247916704e-10,0.0172
173,7.3,1.4036337669e-07,2.93609331487798e-10,0.0173
174,7.4,1.4084716325e-07,2.9456881959814233e-10,0.0174
175,7.5,1.414684388e-07,2.958015354807538e-10,0.0175
176,7.6,1.4201734749e-07,2.968896701265621e-10,0.0176
177,7.7,1.423438184e-07,2.9754098229771326e-10,0.0177
178,7.8,1.4276490143e-07,2.983778784630572e-10,0.0178
179,7.9,1.4322091994e-07,2.9928110710615666e-10,0.0179
180,8.0,1.4384768899000002e-07,3.0052269567872074e-10,0.018000000000000002
181,8.1,1.4436640161e-07,3.015529470513844e-10,0.018099999999999998
182,8.2,1.4475372523e-07,3.0232231030604566e-10,0.0182
183,8.3,1.4536732659e-07,3.0353913409458247e-10,0.0183
184,8.4,1.4580291719e-07,3.0440649269062845e-10,0.0184
185,8.5,1.4625004825000002e-07,3.052945353202049e-10,0.018500000000000003
186,8.6,1.4674964474e-07,3.0628648907182246e-10,0.0186
187,8.7,1.4703990647e-07,3.0686185207978283e-10,0.0187
188,8.8,1.4748451019e-07,3.0774388243131386e-10,0.0188
189,8.9,1.4766935358999999e-07,3.081114885610412e-10,0.0189
190,9.0,1.4814401423e-07,3.0905352234282287e-10,0.019000000000000003
191,9.1,1.4890033527e-07,3.1055450635449573e-10,0.0191
192,9.2,1.4945140111999998e-07,3.116503188698138e-10,0.019200000000000002
193,9.3,1.5012412319000002e-07,3.1298380063934864e-10,0.0193
194,9.4,1.5043980207e-07,3.1360903896759244e-10,0.0194
195,9.5,1.5057772354e-07,3.1388587116680153e-10,0.0195
196,9.6,1.5111783984999999e-07,3.149595596196357e-10,0.0196
197,9.7,1.5120047583e-07,3.151243407814416e-10,0.019700000000000002
198,9.8,1.5167140698e-07,3.160608150558695e-10,0.0198
199,9.9,1.5161181323e-07,3.159430553507353e-10,0.0199
200,10.0,1.5188601088e-07,3.1648794759507326e-10,0.02
