,V,i,si,sV
46,-5.4,2.5756499999999986e-12,5.652045219347924e-11,0.0046
47,-5.3,2.23874e-12,5.6521208740233314e-11,0.0047
48,-5.2,5.788145e-12,5.653121598311709e-11,0.0048
49,-5.1,5.8955219999999994e-12,5.6534894353645095e-11,0.004900000000000001
50,-5.0,5.579576e-12,5.653597284557217e-11,0.005
51,-4.9,6.44472e-12,5.653885571806113e-11,0.0050999999999999995
52,-4.8,7.0272390000000005e-12,5.653980374928669e-11,0.005200000000000001
53,-4.7,9.2178788e-12,5.655231678381728e-11,0.0053
54,-4.6,7.929435e-12,5.655611729414874e-11,0.0054
55,-4.5,8.552698e-12,5.655726181356669e-11,0.0055
56,-4.4,1.2040527999999999e-11,5.6567559004813394e-11,0.0056
57,-4.3,1.3361138e-11,5.657336726614384e-11,0.0057
58,-4.2,1.5504908e-11,5.65755820646222e-11,0.0058
59,-4.1,1.4016525e-11,5.6578852854276254e-11,0.005900000000000001
60,-4.0,1.5737e-11,5.658516448683881e-11,0.006
61,-3.9,1.7324204e-11,5.659564932174147e-11,0.0061
62,-3.8,1.9318657e-11,5.6599233835938355e-11,0.006200000000000001
63,-3.7,1.9785183000000002e-11,5.660185785729461e-11,0.0063
64,-3.6,2.01061075e-11,5.6608717686459194e-11,0.0063999999999999994
65,-3.5,2.4041929899999998e-11,5.6617272699092214e-11,0.006500000000000001
66,-3.4,2.5588370900000002e-11,5.661905349755282e-11,0.0066
67,-3.3,2.45442778e-11,5.662460696876224e-11,0.0067
68,-3.2,2.4728173e-11,5.6631071423562983e-11,0.0068000000000000005
69,-3.1,2.9152715e-11,5.66364610653827e-11,0.0069
70,-3.0,3.3651332999999995e-11,5.6643276762775447e-11,0.007
71,-2.9,3.1242195e-11,5.66468049627103e-11,0.0071
72,-2.8,3.425118e-11,5.665784554552984e-11,0.0072
73,-2.7,3.7030541e-11,5.666512121728647e-11,0.0073
74,-2.6,4.1355141e-11,5.667031854173046e-11,0.0074
75,-2.5,4.0721995e-11,5.667648732006137e-11,0.0075
76,-2.4,4.2230168000000006e-11,5.6684508888347035e-11,0.007600000000000001
77,-2.3,4.7155825999999996e-11,5.6697394363006464e-11,0.0077
78,-2.2,5.0301730999999994e-11,5.670454602242115e-11,0.0078
79,-2.1,5.112248199999999e-11,5.670787696886722e-11,0.0079
80,-2.0,5.202222100000001e-11,5.6718041503798655e-11,0.008
81,-1.9,5.6001265999999995e-11,5.672828494078078e-11,0.0081
82,-1.8,5.8778176e-11,5.6734230158785235e-11,0.0082
83,-1.7,5.946065999999999e-11,5.6740639764627143e-11,0.0083
84,-1.6,6.281393000000001e-11,5.6750738313193196e-11,0.0084
85,-1.5,6.771120999999999e-11,5.6764236415652256e-11,0.0085
86,-1.4,6.918111e-11,5.6774509892989454e-11,0.0086
87,-1.3,7.108301e-11,5.6778146594920574e-11,0.0087
88,-1.2,7.722563e-11,5.6792605917349765e-11,0.0088
89,-1.1,8.300900999999999e-11,5.6808618132983254e-11,0.0089
90,-1.0,8.669927e-11,5.681988511259346e-11,0.009000000000000001
91,-0.9,8.915777e-11,5.682814924433965e-11,0.0091
92,-0.8,9.495712e-11,5.6844452292579326e-11,0.0092
93,-0.7,1.0355691e-10,5.686731287948805e-11,0.009300000000000001
94,-0.6,1.1866473e-10,5.690136312938547e-11,0.0094
95,-0.5,1.996927e-10,5.707497160695786e-11,0.0095
96,-0.4,5.3486308e-10,5.780733640483073e-11,0.009600000000000001
97,-0.3,1.4160963e-09,5.974413272176174e-11,0.0097
98,-0.2,3.82274786e-09,6.527827248456626e-11,0.0098
99,-0.1,5.17159269e-09,6.852088543709693e-11,0.0099
100,0.0,8.108071569999999e-09,7.582873378699386e-11,0.01
101,0.1,1.0071582659999999e-08,8.089456869553636e-11,0.0101
102,0.2,1.262532842e-08,8.763192060630793e-11,0.0102
103,0.3,1.483255008e-08,9.356904474507471e-11,0.0103
104,0.4,1.703050317e-08,9.956316634967344e-11,0.0104
105,0.5,2.0394937290000002e-08,1.0888166093971479e-10,0.0105
106,0.6,2.295955795e-08,1.1607696406200547e-10,0.0106
107,0.7,2.521177652e-08,1.2244278176965358e-10,0.0107
108,0.8,2.738507515e-08,1.2862139436342814e-10,0.0108
109,0.9,2.989855673e-08,1.358096280191859e-10,0.0109
110,1.0,3.20260807e-08,1.4192354764615596e-10,0.011
111,1.1,3.4063673809999997e-08,1.4780112907002792e-10,0.0111
112,1.2,3.630872236e-08,1.54297962553436e-10,0.0112
113,1.3,3.864994892e-08,1.6108994844692582e-10,0.011300000000000001
114,1.4,4.070893324e-08,1.6708240473273158e-10,0.0114
115,1.5,4.281424949e-08,1.7322305802937263e-10,0.0115
116,1.6,4.4881996049999994e-08,1.7926379833058854e-10,0.011600000000000001
117,1.7,4.696878828e-08,1.8537684082724988e-10,0.0117
118,1.8,4.887985189e-08,1.9098289358851856e-10,0.0118
119,1.9,5.063154774e-08,1.9612597488906e-10,0.0119
120,2.0,5.236350647e-08,2.012145954330507e-10,0.012
121,2.1,5.3962119620000005e-08,2.0591874522644828e-10,0.0121
122,2.2,5.547675029e-08,2.1038045927093997e-10,0.0122
123,2.3,5.6805499259999994e-08,2.1429643363008847e-10,0.0123
124,2.4,5.81040418e-08,2.1812380944881276e-10,0.0124
125,2.5,5.9526141069999996e-08,2.223216603425578e-10,0.0125
126,2.6,6.077748966e-08,2.260198672488405e-10,0.0126
127,2.7,6.220095676e-08,2.302233210174684e-10,0.0127
128,2.8,6.347987223e-08,2.340055434623576e-10,0.0128
129,2.9,6.480236409999999e-08,2.3791580497479117e-10,0.0129
130,3.0,6.585040047e-08,2.4101586460498796e-10,0.013000000000000001
131,3.1,6.70954706e-08,2.4470286154103713e-10,0.0131
132,3.2,6.833271587e-08,2.4837026238188504e-10,0.0132
133,3.3,6.94653974e-08,2.5172873025980564e-10,0.0133
134,3.4,7.05830989e-08,2.5503826757492764e-10,0.0134
135,3.5,7.1553e-08,2.579134588785863e-10,0.0135
136,3.6,7.271150522e-08,2.613489645918859e-10,0.013600000000000001
