,V,i,si,sV
33,-6.7,3.22150004605877e-12,5.641169874432326e-11,0.0033
34,-6.6,8.384921739890238e-13,5.640831454957491e-11,0.0034000000000000002
35,-6.5,-1.3926956980807308e-12,5.6413849629381534e-11,0.0034999999999999996
36,-6.4,2.474056429849544e-12,5.642794300418764e-11,0.0036
37,-6.3,5.855768557779777e-12,5.6430899461558964e-11,0.0037
38,-6.2,-1.0343393142899613e-12,5.642495938222445e-11,0.0037999999999999996
39,-6.1,-2.2275871863597188e-12,5.643051005145385e-11,0.0039000000000000007
40,-6.0,1.4268149415705547e-12,5.644422797572672e-11,0.004
41,-5.9,9.925470695008053e-13,5.644236530017814e-11,0.0040999999999999995
42,-5.8,5.570591974310593e-13,5.64456628495652e-11,0.004200000000000001
43,-5.7,-2.568918674638691e-12,5.645123837797803e-11,0.0043
44,-5.6,8.782334532915657e-13,5.6458659331510725e-11,0.0044
45,-5.5,1.1511255812218183e-12,5.646535912436338e-11,0.0045000000000000005
46,-5.4,-3.549582290847923e-12,5.646068504839917e-11,0.0046
47,-5.3,-3.798750162917672e-12,5.6463811957558456e-11,0.0047
48,-5.2,-1.744998034987415e-12,5.6472825320944736e-11,0.0048
49,-5.1,-2.98143590705716e-12,5.647583907787675e-11,0.004900000000000001
50,-5.0,-3.3762537791269095e-12,5.647893504538428e-11,0.005
51,-4.9,-4.579361651196649e-12,5.64796161138554e-11,0.0050999999999999995
52,-4.8,-1.2902195232664034e-12,5.648848453372638e-11,0.005200000000000001
53,-4.7,-3.4214543953361415e-12,5.649401536516912e-11,0.0053
54,-4.6,-5.451500267405896e-12,5.649843081293662e-11,0.0054
55,-4.5,-6.668206139475637e-12,5.649785778818958e-11,0.0055
56,-4.4,-4.657627011545377e-12,5.650719979506836e-11,0.0056
57,-4.3,-2.61621588361513e-12,5.651671787217663e-11,0.0057
58,-4.2,-3.0788517556848716e-12,5.651558633819253e-11,0.0058
59,-4.1,-3.761195627754624e-12,5.6522754133288274e-11,0.005900000000000001
60,-4.0,-1.5543924998243627e-12,5.6532278342940856e-11,0.006
61,-3.9,-1.017391371894112e-12,5.654271796778633e-11,0.0061
62,-3.8,-2.0786112439638584e-12,5.6542003275564376e-11,0.006200000000000001
63,-3.7,-2.8214241160335967e-12,5.654424674563688e-11,0.0063
64,-3.6,1.4365395118966557e-12,5.656164154179612e-11,0.0063999999999999994
65,-3.5,2.4572448999999997e-12,5.657146193724339e-11,0.006500000000000001
66,-3.4,3.6556299e-12,5.657250163949755e-11,0.0066
67,-3.3,5.0070858e-12,5.6583139385396394e-11,0.0067
68,-3.2,9.974683000000001e-12,5.6599754205547174e-11,0.0068000000000000005
